"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест возвращения на страницу товаров","922","Проверка возвращения на страницу товаров","Smoke Test SauceDemo","Thu Sep 04 16:52:31 UTC 2025","broken","Thu Sep 04 16:52:31 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkContinueShopping"
"Проверка входа пользователя с пустым паролем","763","Проверка входа пользователя с пустым паролем","Smoke Test SauceDemo","Thu Sep 04 16:52:14 UTC 2025","passed","Thu Sep 04 16:52:15 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Тест перехода на страницу оплаты","1133","Проверка перехода на страницу оплаты","Smoke Test SauceDemo","Thu Sep 04 16:52:26 UTC 2025","broken","Thu Sep 04 16:52:28 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutPageIsOpened"
"Тест кнопки удаления","830","Проверка удаления выбранного товара","Smoke Test SauceDemo","Thu Sep 04 16:52:36 UTC 2025","broken","Thu Sep 04 16:52:37 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkItemIsRemoved"
"Проверка фильтрации продуктов","924","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 16:52:08 UTC 2025","passed","Thu Sep 04 16:52:09 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Провекрка входа на страницу товаров","2782","Провекрка входа на страницу товаров","Smoke Test SauceDemo","Thu Sep 04 16:52:05 UTC 2025","passed","Thu Sep 04 16:52:08 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkProductPage"
"Позитивный тест оплаты","814","Проверка оплаты пользователем","Smoke Test SauceDemo","Thu Sep 04 16:52:42 UTC 2025","broken","Thu Sep 04 16:52:43 UTC 2025","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkPositiveCheckout"
"","735","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 16:52:21 UTC 2025","passed","Thu Sep 04 16:52:21 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Проверка фильтрации продуктов","1031","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 16:52:12 UTC 2025","passed","Thu Sep 04 16:52:13 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка входа пользователя с именем пользователя","658","Проверка входа пользователя с именем пользователя","Smoke Test SauceDemo","Thu Sep 04 16:52:15 UTC 2025","passed","Thu Sep 04 16:52:16 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка входа пользователя с тестовыми данными","695","Проверка входа пользователя с тестовыми данными","Smoke Test SauceDemo","Thu Sep 04 16:52:16 UTC 2025","passed","Thu Sep 04 16:52:17 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithTestCred"
"","710","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 16:52:19 UTC 2025","passed","Thu Sep 04 16:52:19 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
"Тест проверки страницы корзины","884","Прверка открытия страницы корзины","Smoke Test SauceDemo","Thu Sep 04 16:52:26 UTC 2025","broken","Thu Sep 04 16:52:26 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkCartIsOpened"
"","2051","Прверка локаторов","Smoke Test SauceDemo","Thu Sep 04 16:52:08 UTC 2025","passed","Thu Sep 04 16:52:10 UTC 2025","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
"Проверка фильтрации продуктов","853","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 16:52:10 UTC 2025","passed","Thu Sep 04 16:52:10 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка фильтрации продуктов","939","Проверка фильтрации продуктов","Smoke Test SauceDemo","Thu Sep 04 16:52:11 UTC 2025","passed","Thu Sep 04 16:52:12 UTC 2025","tests.ProductTest","Chrome","tests.ProductTest","checkSorting"
"Проверка входа в аккаунт с валидными данными","866","Проверка входа в аккаунт с валидными данными","Smoke Test SauceDemo","Thu Sep 04 16:52:17 UTC 2025","passed","Thu Sep 04 16:52:18 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"","609","paramNegativeTest","Smoke Test SauceDemo","Thu Sep 04 16:52:20 UTC 2025","passed","Thu Sep 04 16:52:20 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","paramNegativeTest"
